Station Number,Station Name,Lat,Lon
stn01,FT Test,2.809466667,-48.6886
stn02,Seawater endmember,2.674566667,-48.26418333
stn03,FT Test 2 - Plume Edge,2.339478333,-48.5236
stn04,Araguari Outer,1.7235,-49.37115
stn05,Aragruari Mid,1.615833333,-49.59458333
stn06,Amazon Outer,1.198866667,-49.09432333
stn6_TurbEdge,Turbidity Edge Test,1.133333333,-49.16511667
stn07,Amazon Mid,1.039366667,-49.42673333
stn08,Uaca Outer,3.2228395,-50.43149117
stn09,Uaca Mid,3.0985,-50.67493333
stn10,Oyapock Outer,4.966783333,-51.67286167
stn11,Oyapock Mid,4.827228333,-51.72125
stn12,Oyapock Inner,4.623491667,-51.68283867
stn13,Oyapock Estuary,4.25021,-51.62832
stn14,Iracoubo Estuary,5.51883,-53.25082
stn15,Iracoubo Inner,5.656758333,-53.33354233
stn16,Iracoubo Mid,5.736416667,-53.32026333
stn17,Iracoubo Outer,5.862373333,-53.28777033
stn18,Maroni Outer,6.11565,-54.07028333
stn19,Maroni Estuary,5.667028333,-54.02518667
stn20,Maroni Inner,5.902977667,-53.9472315
stn21,Maroni Mid,6.004323333,-54.00861717
